Reference,Value,Datasheet,num
C11,470u,P-10273,1
C12,0.1u,P-13582,1
C13,0.1u,P-13582,1
C14,0.1u,P-13582,1
C15,470u,P-10273,1
C16,0.1u,P-13582,1
C17,1u,P-15940,1
C18,0.1u,P-13582,1
C19,1u,P-15940,1
C20,1u,P-15940,1
C21,22p,sato,1
C22,0.1u,P-13582,1
C23,30p,P-04564,1
C24,0.1u,P-13582,1
C25,33p,sato,1
C26,0.01u,sato,1
C27,1u,P-15940,1
C28,1u,P-15940,1
C29,10u,P-17897,0
C30,0.1u,P-13582,1
C31,0.1u,P-13582,1
C32,0.1u,P-13582,1
C33,1u,P-15940,1
C102,0.01u,sato,1
C103,0.01u,sato,1
C104,24p,sato,1
C105,4p,sato,1
C106,24p,sato,1
C107,0.01u,sato,1
C108,0.01u,sato,1
C202,0.01u,sato,1
C203,0.01u,sato,1
C204,10p,sato,1
C205,2p,sato,1
C206,10p,sato,1
C207,0.01u,sato,1
C208,0.01u,sato,1
C302,0.01u,sato,1
C303,0.01u,sato,1
C304,15p,sato,1
C305,15p,sato,1
C306,33p,sato,1
C307,15p,sato,1
C309,15p,sato,1
C310,0.01u,sato,1
C311,0.01u,sato,1
C402,0.01u,sato,1
C403,0.01u,sato,1
C404,5p,sato,1
C405,3p,sato,1
C406,15p,sato,1
C407,3p,sato,1
C409,5p,sato,1
C410,0.01u,sato,1
C411,0.01u,sato,1
D11,1N4007,I-08332,1
D12,LED-G,I-16911,1
D13,LED-Y,I-16913,1
D14,LED-R,I-16908,1
D101,1SS277,I-10623,1
D102,1SS277,I-10623,1
D201,1SS277,I-10623,1
D202,1SS277,I-10623,1
D301,1SS277,I-10623,1
D302,1SS277,I-10623,1
D401,1SS277,I-10623,1
D402,1SS277,I-10623,1
IC11,PIC16F1705T-I/SL,I-13571,1
IC12,BK4802P,aitendo,1
IC13,NJM2391DL1-33,I-02252,1
IC13A?,LM2940T-3.3,I-14505,0
J11,Conn_01x03,C-05779,1
J12,Conn_01x06,C-05779,1
J13,Conn_01x03,C-05779,1
J14,Conn_Coaxial,C-01422,1
J15,Conn_01x03,C-05779,0
J16,Conn_01x03,C-05779,1
J17,Conn_01x03,C-05779,1
J18,Conn_01x04,C-05779,0
L101,10u,P-03961,1
L102,10u,P-03961,1
L103,7S25,sato,1
L104,7S25,sato,1
L105,10u,P-03961,1
L106,10u,P-03961,1
L201,10u,P-03961,1
L202,10u,P-03961,1
L203,7S50,sato,1
L204,7S50,sato,1
L205,10u,P-03961,1
L206,10u,P-03961,1
L301,10u,P-03961,1
L302,10u,P-03961,1
L303,60n,aitendo,1
L304,60n,aitendo,1
L305,10u,P-03961,1
L306,10u,P-03961,1
L401,10u,P-03961,1
L402,10u,P-03961,1
L403,20n,aitendo,1
L404,20n,aitendo,1
L405,10u,P-03961,1
L406,10u,P-03961,1
MK11,Microphone,P-01810,0
Q12,2N7000,I-13045,1
Q13,2N7000,I-13045,1
Q14,2N7000,I-13045,1
Q15,2N7000,I-13045,1
R11,0,R-25000,1
R12,1k,R-25102,1
R13,0,R-25000,1
R14,0,R-25000,1
R15,1k,R-25102,1
R16,0,R-25000,1
R17,1k,R-25102,0
R18,10k,R-25103,0
R19,10,R-25100,0
R20,1k,R-25102,1
R21,10k,R-25103,1
R22,10,R-25100,0
R23,10,R-25100,0
R24,1k,R-25102,1
R101,470,R-25471,1
R102,470,R-25471,1
R103,470,R-25471,1
R104,470,R-25471,1
R105,1k,R-25102,1
R201,470,R-25471,1
R202,470,R-25471,1
R203,470,R-25471,1
R204,470,R-25471,1
R205,1k,R-25102,1
R301,470,R-25471,1
R302,470,R-25471,1
R303,470,R-25471,1
R304,470,R-25471,1
R305,1k,R-25102,1
R401,470,R-25471,1
R402,470,R-25471,1
R403,470,R-25471,1
R404,470,R-25471,1
R405,1k,R-25102,1
SW12,SW_Push,P-03647,0
SW13,SW_Push,P-03647,0
X11,21.25M,aitendo,1
