Reference,Value,Datasheet,æ•°é‡
C10,10u,P-17897,1
C11,1u,P-15940,1
C12,0.1u,P-15940,1
C13,0.1u,P-15940,1
C14,0.1u,P-15940,1
C15,470u,P-10273,1
C16,0.1u,P-15940,1
C17,10u,P-17897,1
C18,0.1u,P-15940,0
C19,1u,P-15940,1
C20,1u,P-15940,1
C21,15p,sato,1
C22,0.1u,P-15940,1
C23,30p,P-15472,1
C24,0.1u,P-15940,1
C25,33p,sato,1
C26,0.01u,P-04063,1
C27,1u,P-15940,1
C28,1u,P-15940,1
C29,10u,P-17897,1
C30,0.1u,P-15940,1
C31,27p,sato,0
C32,27p,sato,0
D12,LED,I-16906,1
D13,LED,I-16908,1
D14,LED,I-16907,1
IC11,PIC16F1705T-I/SL,I-13571,1
IC12,BK4802P,aitendo,1
IC13,NJM2391DL1-33,I-02252,1
IC13A,LM2940T-3.3,I-14505,0
J11,Conn_01x03,C-05779,1
J12,Conn_01x06,C-05779,1
J13,Conn_01x03,C-05779,1
J14,Conn_Coaxial,C-01422,1
J15,Conn_01x03,C-05779,1
J16,Conn_01x03,C-05779,1
J17,Conn_01x03,C-05779,1
J18,Conn_01x04,C-05779,0
J19,Conn_01x06,C-05779,0
J20,Conn_01x04,C-05779,0
L11,20n,aitendo,0
MK11,Microphone,P-01810,0
R11,0,R-25000,1
R12,1k,R-25102,1
R13,0,R-25000,0
R14,0,R-25000,1
R15,1k,R-25102,1
R16,0,R-25000,1
R17,2.2k,R-25222,0
R18,4.7k,R-25472,0
R19,10,R-25100,0
R21,10k,R-25103,1
R22,10,R-25100,1
R23,1k,R-25102,1
R24,1k,R-25102,1
SW12,SW_Push,P-03647,0
